iter	RMSE
0	0.5242388076
1	0.4934021171
2	0.4643816448
3	0.4374030877
4	0.4144522832
5	0.3934971724
6	0.3752401603
7	0.3594537956
8	0.3456664394
9	0.3318890353
10	0.3198108304
11	0.3085006892
12	0.299217552
13	0.2906622711
14	0.2826073129
15	0.275251572
16	0.2684508383
17	0.2620982795
18	0.2565853761
19	0.2512513943
20	0.2467679699
21	0.2427905894
22	0.2389024323
23	0.2355999818
24	0.2319900333
25	0.2291096195
26	0.226435665
27	0.2239587692
28	0.2213879793
29	0.2192960282
30	0.2176194132
31	0.2160755171
32	0.2145553495
33	0.2128847107
34	0.2116767431
35	0.2103943829
36	0.2091438236
37	0.2075801066
38	0.2064278858
39	0.2054049384
40	0.2045440299
41	0.2038155378
42	0.2025523745
43	0.2017679921
44	0.2006647487
45	0.1999517511
46	0.1994690853
47	0.1988076187
48	0.1977891365
49	0.1970863959
50	0.1964002761
51	0.1958369588
52	0.1952326638
53	0.1944053913
54	0.1937673691
55	0.1930814299
56	0.1925279064
57	0.1917593477
58	0.1910853859
59	0.1906731461
60	0.1901862019
61	0.1894516062
62	0.188940843
63	0.1879405353
64	0.1872809969
65	0.1865057108
66	0.1860440606
67	0.1856098305
68	0.1852843805
69	0.1847750111
70	0.1842796288
71	0.1838872031
72	0.1833610584
73	0.1828436692
74	0.1821603842
75	0.1815431959
76	0.1809118964
77	0.1803677252
78	0.1797792006
79	0.179314757
80	0.1791324178
81	0.1788047644
82	0.1784802579
83	0.1781316577
84	0.1778234443
85	0.1774882886
86	0.1773006965
87	0.1770151606
88	0.1767184897
89	0.1761950143
90	0.1752522062
91	0.175053318
92	0.174705086
93	0.1742471889
94	0.1740574912
95	0.1733080037
96	0.173178221
97	0.1727911548
98	0.1726245836
99	0.1717834324
100	0.1716424673
101	0.1710999166
102	0.1709532887
103	0.1707644923
104	0.1703868335
105	0.170036875
106	0.1696203355
107	0.169159202
108	0.1689874679
109	0.1686453324
110	0.168436452
111	0.168322595
112	0.1678730105
113	0.1674491022
114	0.1673680553
115	0.1672276439
116	0.1671266681
117	0.1668353932
118	0.1659736406
119	0.1658821085
120	0.1658055702
121	0.1654801796
122	0.1653375126
123	0.165183759
124	0.1647996107
125	0.1641915773
126	0.1639328624
127	0.1637917006
128	0.1633965518
129	0.1632582972
130	0.1626977214
131	0.1626293511
132	0.1624819757
133	0.1623923123
134	0.1620569806
135	0.1617205146
136	0.1610992738
137	0.1606034664
138	0.1601059605
139	0.1597536014
140	0.1595173959
141	0.1591229577
142	0.15885849
143	0.1584757708
144	0.1580342939
145	0.1576710606
146	0.1573088918
147	0.1569948722
148	0.1569190402
149	0.1567042997
150	0.1561729194
151	0.1557716012
152	0.1556780892
153	0.1554846661
154	0.1552051916
155	0.1550008388
156	0.1549181101
157	0.1547093931
158	0.1543442996
159	0.1540604245
160	0.1533837817
161	0.1528250554
162	0.1523034458
163	0.1517557102
164	0.1512338044
165	0.1508698776
166	0.1507588134
167	0.1505975032
168	0.1505620508
169	0.150485988
170	0.1501807843
171	0.1501220122
172	0.1497322928
173	0.1493951676
174	0.1491794967
175	0.149054422
176	0.1488390672
177	0.1486539197
178	0.1486043944
179	0.1485583818
180	0.1481915064
181	0.1478879166
182	0.147755282
183	0.1475489997
184	0.1471873879
185	0.1470925612
186	0.1470189065
187	0.146986452
188	0.1467793335
189	0.1467257565
190	0.1466400747
191	0.1463637328
192	0.1461684629
193	0.1461289894
194	0.1460794977
195	0.1458946318
196	0.1457165051
197	0.1453109202
198	0.1450399778
199	0.1446386247
200	0.1445862905
201	0.1445190598
202	0.144256492
203	0.1439829625
204	0.1438433772
205	0.1435461888
206	0.1435195886
207	0.1434985842
208	0.1434679611
209	0.143176386
210	0.1431444963
211	0.1431218461
212	0.1429332833
213	0.1427792364
214	0.1424315408
215	0.1422199369
216	0.1420053802
217	0.1419800853
218	0.1419520548
219	0.1418156539
220	0.1415967684
221	0.141429425
222	0.1412031401
223	0.1411684054
224	0.1410891576
225	0.1410682077
226	0.1408790233
227	0.1407060641
228	0.1406759318
229	0.1403718586
230	0.1402979297
231	0.1401136356
232	0.1399759684
233	0.1397227658
234	0.1393765638
235	0.1391579244
236	0.1390126051
237	0.1388548096
238	0.1385965794
239	0.1384705709
240	0.1383696721
241	0.1383387832
242	0.1381563547
243	0.1379426409
244	0.1377776209
245	0.1376440477
246	0.1374553378
247	0.137163279
248	0.1370189258
249	0.1368667253
250	0.1367326456
251	0.1365685665
252	0.1364382306
253	0.1364213169
254	0.1363642975
255	0.1362044024
256	0.1361540802
257	0.1359592441
258	0.1358507754
259	0.1357763091
260	0.1356467919
261	0.1355759665
262	0.1353277419
263	0.1352760487
264	0.1352302427
265	0.1351504875
266	0.134982691
267	0.1348002822
268	0.1347701101
