iter	Passed	Remaining
0	2	1233
1	5	1285
2	7	1285
3	10	1286
4	13	1291
5	15	1272
6	18	1292
7	21	1300
8	23	1299
9	26	1294
10	29	1308
11	31	1295
12	34	1297
13	37	1292
14	39	1273
15	41	1258
16	43	1247
17	46	1242
18	48	1235
19	51	1240
20	53	1227
21	55	1215
22	57	1200
23	60	1195
24	62	1189
25	64	1179
26	66	1167
27	68	1158
28	70	1151
29	73	1153
30	75	1147
31	78	1141
32	80	1139
33	82	1136
34	85	1132
35	87	1130
36	90	1126
37	92	1123
38	94	1119
39	96	1114
40	99	1109
41	101	1104
42	103	1101
43	105	1095
44	107	1090
45	110	1087
46	111	1075
47	113	1071
48	116	1069
49	118	1068
50	120	1064
51	123	1062
52	125	1059
53	128	1057
54	130	1054
55	132	1051
56	134	1046
57	137	1046
58	140	1047
59	142	1042
60	144	1041
61	147	1042
62	150	1043
63	153	1042
64	155	1037
65	157	1035
66	160	1036
67	164	1045
68	166	1043
69	169	1041
70	171	1037
71	176	1046
72	178	1046
73	181	1043
74	183	1040
75	186	1037
76	189	1038
77	191	1035
78	194	1034
79	196	1029
80	198	1025
81	200	1023
82	202	1019
83	205	1015
84	207	1011
85	209	1006
86	211	1002
87	213	1000
88	215	995
89	217	993
90	220	989
91	222	985
92	224	981
93	227	980
94	229	977
95	231	974
96	233	971
97	235	967
98	239	968
99	241	965
100	243	961
101	245	957
102	247	953
103	249	951
104	252	950
105	254	947
106	257	944
107	259	940
108	262	940
109	264	937
110	266	934
111	268	930
112	270	927
113	272	924
114	275	921
115	277	919
116	280	918
117	283	916
118	285	913
119	287	910
120	289	906
121	292	905
122	294	903
123	296	900
124	299	898
125	301	895
126	304	894
127	306	891
128	309	888
129	311	885
130	313	882
131	315	880
132	318	879
133	321	877
134	323	874
135	326	872
136	328	870
137	330	868
138	334	869
139	337	867
140	339	863
141	342	862
142	344	860
143	346	857
144	349	854
145	350	850
146	352	847
147	355	844
148	357	841
149	359	838
150	361	835
151	363	833
152	366	830
153	368	828
154	371	826
155	373	823
156	375	821
157	377	818
158	380	815
159	382	813
160	385	811
161	387	808
162	389	805
163	391	802
164	393	799
165	396	797
166	399	795
167	401	792
168	403	790
169	404	786
170	407	783
171	409	781
172	411	778
173	413	775
174	415	772
175	418	770
176	420	767
177	422	764
178	424	760
179	426	757
180	428	755
181	431	754
182	433	751
183	435	748
184	438	746
185	440	743
186	442	740
187	444	738
188	447	735
189	449	732
190	451	729
191	453	727
192	456	726
193	458	723
194	460	720
195	462	717
196	465	715
197	467	713
198	470	711
199	472	709
200	475	706
201	477	703
202	479	701
203	482	700
204	484	697
205	486	694
206	490	694
207	493	692
208	495	689
209	497	686
210	499	684
211	502	683
212	505	681
213	507	678
214	509	675
215	512	673
216	514	670
217	516	667
218	518	664
219	520	662
220	522	659
221	524	656
222	526	654
223	528	651
224	530	648
225	532	645
226	535	643
227	536	640
228	538	637
229	541	635
230	543	632
231	545	629
232	547	627
233	549	625
234	551	622
235	553	619
236	555	616
237	557	614
238	560	611
239	562	609
240	563	605
241	566	603
242	568	601
243	571	599
244	573	596
245	575	594
246	577	591
247	580	589
248	581	586
249	584	584
250	587	582
251	589	580
252	591	577
253	593	574
254	596	572
255	598	570
256	600	567
257	602	565
258	604	562
259	607	560
260	609	558
261	611	555
262	614	553
263	616	551
264	618	548
265	620	545
266	623	543
267	626	542
268	628	539
269	630	537
270	632	534
271	635	532
272	638	530
273	640	528
274	643	526
275	645	523
276	648	521
277	650	519
278	652	516
279	655	514
280	657	512
281	660	510
282	663	508
283	665	506
284	667	503
285	669	501
286	671	498
287	674	496
288	676	494
289	678	491
290	681	489
291	683	486
292	685	484
293	688	482
294	690	479
295	692	477
296	694	474
297	696	472
298	698	469
299	701	467
300	703	465
301	705	462
302	707	460
303	709	457
304	713	456
305	715	453
306	717	451
307	719	448
308	721	446
309	724	443
310	726	441
311	728	439
312	730	436
313	732	433
314	734	431
315	737	429
316	739	427
317	742	424
318	744	422
319	746	419
320	749	417
321	751	415
322	753	412
323	755	410
324	757	407
325	759	405
326	762	403
327	764	401
328	766	398
329	768	395
330	770	393
331	772	391
332	775	388
333	778	386
334	780	384
335	782	382
336	785	380
337	788	377
338	790	375
339	793	373
340	795	371
341	798	368
342	801	366
343	803	364
344	805	362
345	808	359
346	810	357
347	813	355
348	816	353
349	818	350
350	820	348
351	823	346
352	825	343
353	828	341
354	830	339
355	833	337
356	835	334
357	837	332
358	840	329
359	842	327
360	844	325
361	847	322
362	849	320
363	851	318
364	853	315
365	856	313
366	858	311
367	860	308
368	862	306
369	864	303
370	866	301
371	869	299
372	871	296
373	873	294
374	875	291
375	877	289
376	880	287
377	882	284
378	884	282
379	886	280
380	889	277
381	891	275
382	892	272
383	894	270
384	896	267
385	898	265
386	900	263
387	903	260
388	905	258
389	908	256
390	910	253
391	912	251
392	914	248
393	917	246
394	919	244
395	921	242
396	923	239
397	926	237
398	928	235
399	931	232
400	933	230
401	936	228
402	939	226
403	941	223
404	942	221
405	945	218
406	948	216
407	950	214
408	952	211
409	955	209
410	958	207
411	962	205
412	964	203
413	967	200
414	970	198
415	973	196
416	976	194
417	978	191
418	980	189
419	982	187
420	984	184
421	986	182
422	988	179
423	991	177
424	994	175
425	995	172
426	998	170
427	1000	168
428	1002	165
429	1005	163
430	1008	161
431	1009	158
432	1012	156
433	1015	154
434	1017	152
435	1019	149
436	1022	147
437	1025	145
438	1027	142
439	1030	140
440	1032	138
441	1035	135
442	1037	133
443	1041	131
444	1044	129
445	1048	126
446	1050	124
447	1053	122
448	1056	120
449	1059	117
450	1063	115
451	1065	113
452	1068	110
453	1070	108
454	1073	106
455	1076	103
456	1078	101
457	1080	99
458	1083	96
459	1086	94
460	1088	92
461	1091	89
462	1095	87
463	1097	85
464	1100	82
465	1103	80
466	1105	78
467	1107	75
468	1110	73
469	1112	71
470	1114	68
471	1117	66
472	1120	63
473	1123	61
474	1125	59
475	1128	56
476	1130	54
477	1133	52
478	1136	49
479	1139	47
480	1141	45
481	1144	42
482	1146	40
483	1150	38
484	1152	35
485	1154	33
486	1156	30
487	1159	28
488	1163	26
489	1165	23
490	1168	21
491	1170	19
492	1172	16
493	1175	14
494	1180	11
495	1182	9
496	1185	7
497	1187	4
498	1189	2
499	1191	0
