iter	RMSE
0	0.5157796952
1	0.4889535495
2	0.4621292193
3	0.4376870049
4	0.4171546364
5	0.3974350054
6	0.3802670226
7	0.3660059705
8	0.3526852353
9	0.3409382475
10	0.3295727886
11	0.3204779949
12	0.3126369236
13	0.3043490138
14	0.296802763
15	0.289203285
16	0.2836248452
17	0.2786411616
18	0.2736172028
19	0.2693692487
20	0.2657290649
21	0.2621084368
22	0.2583206923
23	0.2555542214
24	0.2527901871
25	0.2501612297
26	0.2474538388
27	0.2452086066
28	0.2426561179
29	0.240556122
30	0.2385484123
31	0.2370653498
32	0.2354222708
33	0.2338525561
34	0.2322762096
35	0.2306938709
36	0.229346803
37	0.2283294422
38	0.2275507397
39	0.2264701041
40	0.2253892622
41	0.2243545367
42	0.2228531398
43	0.2218800896
44	0.2211164279
45	0.2202137015
46	0.2194499389
47	0.218371767
48	0.2173728198
49	0.2169899389
50	0.2163906049
51	0.215391818
52	0.215214905
53	0.2145378195
54	0.2141260577
55	0.2131234904
56	0.2127787291
57	0.21242026
58	0.2120388329
59	0.2115166825
60	0.2111392361
61	0.2106025075
62	0.2103761658
63	0.2098016554
64	0.208888518
65	0.2079291727
66	0.2072428131
67	0.2067900708
68	0.2062327598
69	0.2060679258
70	0.2056637971
71	0.2049354255
72	0.2042172842
73	0.2037246653
74	0.2033755152
75	0.2029582411
76	0.202190671
77	0.2018175757
78	0.2015560724
79	0.2009982872
80	0.200421872
81	0.1997314279
82	0.1991782849
83	0.1984964228
84	0.1982998832
85	0.1975905433
86	0.1971215532
87	0.1968011185
88	0.1964584964
89	0.1956591536
90	0.1954274342
91	0.1949785976
92	0.1946931305
93	0.1940442102
94	0.1934033337
95	0.1928899583
96	0.1925651376
97	0.1919841673
98	0.1916096939
99	0.1913121816
100	0.1909059385
101	0.1903973056
102	0.1902175036
103	0.1900690794
104	0.1897866658
105	0.1895538908
106	0.1892758509
107	0.1888732349
108	0.1885427017
109	0.1877967862
110	0.1875946853
111	0.1873938793
112	0.187073023
113	0.1868520712
114	0.1865234599
115	0.1862769206
116	0.1859946817
117	0.1856964395
118	0.1852543748
119	0.1850583431
120	0.1848126535
121	0.184439562
122	0.1842269838
123	0.1835942342
124	0.1830787556
125	0.1829421314
126	0.1826524764
127	0.1825219246
128	0.1824123888
129	0.1823117784
130	0.1820081874
131	0.1816728606
132	0.1814894477
133	0.1810322315
134	0.180856824
135	0.1805566445
136	0.1802201958
137	0.1800693533
138	0.1800072835
139	0.1798388834
140	0.1796394594
141	0.1794113225
142	0.1792973379
143	0.1791847076
144	0.1790347692
145	0.1789338842
146	0.1788941049
147	0.1785760605
148	0.1784407992
149	0.1779637226
150	0.1775404106
151	0.1771733434
152	0.1769625696
153	0.1766121813
154	0.1764573024
155	0.1761053302
156	0.1758983298
157	0.1756048119
158	0.1754202952
159	0.1753001496
160	0.175117221
161	0.1748541387
162	0.1744672777
163	0.1741257494
164	0.1739357393
165	0.1736255651
166	0.1734967519
167	0.1733911292
168	0.1732463977
169	0.1730073069
170	0.1727771919
171	0.1726296849
172	0.1723962195
173	0.1722798496
174	0.1720422333
175	0.171917196
176	0.1716540154
177	0.1715504789
178	0.171388285
179	0.1712487254
180	0.1710880983
181	0.1709853638
182	0.1707375131
183	0.1706066169
184	0.1704462962
185	0.1702272891
186	0.1700647583
187	0.1699181681
188	0.1697250789
189	0.1696537881
190	0.1695350042
191	0.1694038752
192	0.1692778428
193	0.1690881394
194	0.1688068816
195	0.1686349759
196	0.1682886286
197	0.1681397555
198	0.1680227065
199	0.1677747345
200	0.1677020412
201	0.1676117699
202	0.1675010203
203	0.1673651579
204	0.1671647178
205	0.1670851266
206	0.1669819001
207	0.1668628016
208	0.1667641679
209	0.166649207
210	0.1664955605
211	0.1664414322
212	0.166292237
213	0.1661579149
214	0.1660500837
215	0.1659469276
216	0.1656189341
217	0.1655256956
218	0.1653620589
219	0.165342767
220	0.1651837285
221	0.1650176258
222	0.1649306045
223	0.1648119452
224	0.164726372
225	0.1646651577
226	0.1645616795
227	0.1644850038
228	0.1644071478
229	0.1641636856
230	0.1641076503
231	0.1639835616
